Kmeans ID,Depth,Used Time Since Start(us)
0,0,325014
1,1,411598
2,2,422559
3,3,424199
4,4,424489
5,4,424708
6,4,425009
7,4,425180
8,4,425373
9,4,425670
10,4,425857
11,3,427512
12,4,427752
13,4,427991
14,4,428163
15,4,428343
16,4,428632
17,4,428768
18,4,429085
19,3,430176
20,4,430380
21,4,430632
22,4,430759
23,4,430943
24,4,431070
25,3,432597
26,4,432924
27,4,433237
28,4,433525
29,4,433661
30,4,433869
31,4,434046
32,3,435675
33,4,435815
34,4,436127
35,4,436348
36,4,436624
37,4,436867
38,4,437057
39,4,437264
40,3,438412
41,4,438704
42,4,438873
43,4,438985
44,4,439213
45,4,439356
46,3,440834
47,4,441028
48,4,441310
49,4,441554
50,4,441778
51,4,442034
52,4,442243
53,3,443032
54,4,443160
55,4,443294
56,4,443406
57,2,459574
58,3,462979
59,4,463609
60,5,463720
61,5,463855
62,4,464091
63,4,464392
64,4,464765
65,5,464925
66,4,465634
67,5,465757
68,5,465869
69,5,466003
70,4,466522
71,5,466630
72,4,467127
73,5,467264
74,4,467417
75,3,470294
76,4,470753
77,5,470865
78,4,470972
79,4,471228
80,4,471483
81,4,472124
82,5,472244
83,5,472370
84,5,472478
85,4,472693
86,4,473126
87,4,473654
88,5,473777
89,5,473899
90,5,474019
91,3,475494
92,4,475916
93,5,476057
94,4,476336
95,4,476446
96,4,476880
97,5,476993
98,3,478539
99,4,478925
100,4,479148
101,4,479279
102,4,479508
103,4,479798
104,3,481725
105,4,482011
106,4,482290
107,4,482556
108,4,482685
109,4,482871
110,4,483141
111,4,483487
112,3,485603
113,4,485980
114,4,486292
115,4,486419
116,4,486730
117,4,487046
118,4,487264
119,4,487447
120,4,487736
121,3,489320
122,4,489515
123,4,489771
124,4,490074
125,4,490374
126,4,490534
127,4,490666
128,4,490816
129,4,490950
130,3,492393
131,4,492783
132,4,493087
133,4,493241
134,4,493372
135,4,493552
136,4,493708
137,4,493880
138,2,511251
139,3,512195
140,4,512480
141,4,512680
142,4,512915
143,4,513071
144,3,516539
145,4,517130
146,5,517254
147,5,517396
148,5,517558
149,4,518188
150,5,518299
151,5,518417
152,4,518638
153,4,518972
154,4,519566
155,5,519703
156,4,519946
157,4,520426
158,5,520535
159,4,520939
160,3,521950
161,4,522207
162,4,522405
163,4,522542
164,4,522689
165,3,525240
166,4,525605
167,4,525773
168,4,525983
169,4,526169
170,4,526400
171,4,526659
172,4,527336
173,5,527476
174,5,527682
175,5,527790
176,4,528277
177,5,528434
178,3,529167
179,4,529347
180,4,529456
181,4,529587
182,4,529700
183,3,533120
184,4,533779
185,5,533921
186,4,534612
187,5,534747
188,5,534890
189,5,535006
190,4,535558
191,5,535666
192,5,535787
193,4,536020
194,4,536242
195,4,536375
196,4,536926
197,5,537048
198,4,537455
199,3,539489
200,4,539865
201,4,540289
202,4,540404
203,4,541082
204,5,541228
205,5,541354
206,4,541591
207,3,544747
208,4,545381
209,5,545540
210,4,546020
211,5,546139
212,4,546563
213,5,546694
214,5,546802
215,4,546944
216,4,547878
217,5,548121
218,5,548234
219,5,548342
220,5,548451
221,5,548617
222,4,548885
223,4,549160
224,2,565179
225,3,568045
226,4,568590
227,5,568702
228,4,568935
229,4,569401
230,4,569672
231,4,570221
232,5,570333
233,4,570667
234,4,571067
235,4,571177
236,3,573922
237,4,574474
238,5,574603
239,4,574947
240,4,575139
241,4,575326
242,4,575474
243,4,576063
244,5,576271
245,4,576660
246,4,577019
247,3,579209
248,4,579535
249,4,579887
250,4,580084
251,4,580328
252,4,580580
253,4,580874
254,4,581331
255,3,582801
256,4,583356
257,5,583495
258,5,583670
259,4,583964
260,4,584199
261,4,584454
262,3,585817
263,4,585955
264,4,586224
265,4,586366
266,4,586543
267,4,586700
268,4,586883
269,4,587178
270,3,589416
271,4,589644
272,4,589862
273,4,590114
274,4,590445
275,4,590596
276,4,591019
277,4,591183
278,4,591693
279,5,591807
280,3,592344
281,4,592486
282,3,595126
283,4,595582
284,4,596277
285,5,596384
286,5,596508
287,5,596635
288,4,596913
289,5,597051
290,4,597321
291,4,597517
292,4,597886
293,5,598001
294,4,598409
295,5,598528
296,2,601581
297,3,601974
298,3,602681
299,4,602928
300,3,603283
301,3,603640
302,3,604026
303,4,604141
304,3,604298
305,3,604628
306,4,604738
307,3,605143
308,2,610630
309,3,611598
310,4,611782
311,4,611915
312,4,612051
313,4,612191
314,4,612321
315,4,612456
316,3,613373
317,4,613633
318,4,613800
319,4,614027
320,3,614644
321,4,614777
322,4,614897
323,3,615328
324,3,615763
325,3,616626
326,4,616783
327,4,616936
328,4,617068
329,4,617203
330,3,617707
331,3,618517
332,4,618706
333,4,618881
334,4,619060
335,4,619227
336,2,624707
337,3,625348
338,4,625489
339,4,625622
340,4,625830
341,3,627043
342,4,627208
343,4,627334
344,4,627623
345,4,627861
346,4,628037
347,3,628479
348,4,628595
349,4,628716
350,3,629407
351,4,629528
352,4,629636
353,4,629759
354,3,629948
355,3,630494
356,4,630625
357,3,631587
358,4,631722
359,4,631922
360,4,632062
361,4,632219
362,4,632392
363,3,633288
364,4,633588
365,4,633713
366,4,633902
367,2,639560
368,3,641108
369,4,641392
370,4,641582
371,4,641816
372,4,642013
373,4,642142
374,4,642573
375,3,643399
376,4,643585
377,4,643725
378,4,643917
379,3,644157
380,3,645259
381,4,645444
382,4,645793
383,4,646098
384,4,646227
385,3,646665
386,3,646942
387,3,647525
388,4,647642
389,4,647754
390,3,648415
391,4,648578
392,4,648730
393,1,663187
