Kmeans ID,Depth,Used Time Since Start(us)
0,0,327184
1,1,382403
2,2,388229
3,3,389134
4,4,389294
5,4,389553
6,4,389713
7,4,389852
8,3,391096
9,4,391288
10,4,391453
11,4,391865
12,4,392046
13,4,392233
14,3,393310
15,4,393488
16,4,393703
17,4,393845
18,4,394005
19,4,394172
20,4,394305
21,3,395510
22,4,395705
23,4,396093
24,5,396202
25,4,396383
26,4,396563
27,4,396710
28,3,397134
29,3,397248
30,3,397666
31,3,398157
32,4,398274
33,4,398381
34,2,405768
35,3,407079
36,4,407198
37,4,407387
38,4,407550
39,4,407739
40,4,407909
41,4,408027
42,4,408193
43,4,408413
44,3,409859
45,4,410066
46,4,410339
47,4,410481
48,4,410699
49,4,410816
50,4,410964
51,4,411212
52,4,411341
53,3,412458
54,4,412792
55,4,412903
56,4,413097
57,4,413256
58,4,413374
59,3,414405
60,4,414622
61,4,414804
62,4,415021
63,4,415150
64,4,415262
65,3,415466
66,3,416551
67,4,416721
68,4,416861
69,4,417103
70,4,417230
71,4,417465
72,4,417598
73,3,418316
74,4,418440
75,4,418567
76,4,418674
77,3,419194
78,2,434237
79,3,436684
80,4,437282
81,5,437393
82,4,437588
83,4,438334
84,5,438530
85,5,438715
86,5,438824
87,5,438939
88,4,439170
89,4,439437
90,4,439690
91,3,443864
92,4,444343
93,5,444469
94,4,445006
95,5,445141
96,5,445259
97,4,445860
98,5,446035
99,5,446185
100,4,447061
101,5,447347
102,5,447507
103,5,447634
104,5,447796
105,4,448311
106,4,448698
107,4,449236
108,5,449353
109,5,449465
110,4,449708
111,3,451886
112,4,452399
113,4,452629
114,4,452738
115,4,453109
116,4,453282
117,4,453519
118,4,453884
119,3,455920
120,4,456302
121,5,456417
122,4,456864
123,5,456986
124,5,457109
125,4,457348
126,4,457465
127,4,457653
128,4,457848
129,4,458055
130,4,458340
131,3,459710
132,4,460075
133,4,460277
134,4,460434
135,4,460684
136,4,460955
137,3,461517
138,4,461659
139,3,463194
140,4,463445
141,4,463730
142,4,464002
143,5,464124
144,4,464245
145,4,464392
146,4,464663
147,4,464812
148,3,465743
149,4,466006
150,4,466203
151,4,466314
152,4,466434
153,4,466585
154,2,470472
155,3,471581
156,4,471736
157,4,471958
158,4,472164
159,4,472271
160,4,472519
161,3,473318
162,4,473509
163,4,473755
164,4,473936
165,3,474424
166,4,474581
167,3,475149
168,4,475270
169,4,475390
170,4,475501
171,3,475626
172,3,475827
173,3,476425
174,4,476533
175,4,476674
176,2,479731
177,3,480174
178,4,480285
179,3,480689
180,3,481319
181,4,481426
182,4,481557
183,3,481989
184,3,482543
185,4,482667
186,4,482790
187,4,482932
188,3,483077
189,3,483578
190,4,483697
191,2,490843
192,3,492212
193,4,492403
194,4,492598
195,4,492739
196,4,492857
197,4,493044
198,4,493311
199,4,493478
200,4,493608
201,3,494800
202,4,494986
203,4,495162
204,4,495364
205,4,495615
206,4,495800
207,3,496694
208,4,496822
209,4,497047
210,4,497239
211,4,497347
212,3,497735
213,3,499023
214,4,499198
215,4,499586
216,4,499716
217,4,499932
218,4,500061
219,4,500179
220,3,500683
221,4,500798
222,4,500924
223,3,501507
224,4,501640
225,4,501761
226,3,502728
227,4,502934
228,4,503098
229,4,503304
230,4,503442
231,4,503563
232,2,507430
233,3,507924
234,4,508074
235,3,509068
236,4,509215
237,4,509439
238,4,509557
239,4,509770
240,4,510018
241,3,510504
242,4,510662
243,3,511136
244,4,511257
245,3,511659
246,4,511770
247,3,511928
248,3,512126
249,3,512827
250,4,513024
251,4,513237
252,4,513349
253,2,521968
254,3,524476
255,4,524698
256,4,525220
257,5,525368
258,4,525572
259,4,525781
260,4,526147
261,4,526604
262,5,526727
263,4,527035
264,4,527291
265,3,528277
266,4,528385
267,4,528596
268,4,528733
269,4,528841
270,4,529100
271,3,530143
272,4,530292
273,4,530443
274,4,530570
275,4,530767
276,4,530970
277,3,532156
278,4,532433
279,4,532563
280,4,532908
281,4,533064
282,4,533182
283,3,533871
284,4,534050
285,4,534171
286,4,534278
287,3,534580
288,3,536095
289,4,536416
290,4,536636
291,4,536745
292,4,536912
293,4,537062
294,4,537205
295,4,537516
296,3,538013
297,1,583919
298,2,590111
299,3,591545
300,4,591824
301,4,592030
302,4,592158
303,4,592281
304,4,592422
305,4,592639
306,4,592930
307,3,594260
308,4,594535
309,4,594777
310,4,594942
311,4,595049
312,4,595200
313,4,595357
314,4,595589
315,3,596213
316,4,596360
317,4,596494
318,3,596970
319,3,597329
320,3,598484
321,4,598763
322,4,598952
323,4,599083
324,4,599275
325,4,599461
326,3,600076
327,4,600201
328,4,600322
329,3,600564
330,2,608667
331,3,609764
332,4,609990
333,4,610147
334,4,610275
335,4,610494
336,4,610634
337,4,610763
338,3,612173
339,4,612567
340,4,612815
341,4,613158
342,5,613286
343,4,613473
344,3,614642
345,4,614794
346,4,614970
347,4,615157
348,4,615322
349,4,615458
350,4,615663
351,3,616549
352,4,616685
353,4,616903
354,4,617068
355,4,617256
356,4,617380
357,3,618264
358,4,618421
359,4,618572
360,4,618693
361,4,618864
362,4,618978
363,3,620200
364,4,620425
365,4,620679
366,4,620843
367,4,620950
368,4,621126
369,4,621270
370,3,622178
371,4,622292
372,4,622429
373,4,622725
374,4,622898
375,3,623491
376,4,623637
377,2,631773
378,3,632581
379,4,632827
380,4,632941
381,3,634889
382,4,635241
383,4,635760
384,4,636040
385,4,636165
386,4,636571
387,4,636787
388,3,638133
389,4,638503
390,4,638639
391,4,638762
392,4,639000
393,4,639106
394,4,639307
395,4,639415
396,3,639940
397,4,640055
398,4,640175
399,3,640725
400,4,640858
401,4,640996
402,3,641759
403,4,641902
404,4,642050
405,3,642849
406,4,642970
407,4,643079
408,4,643205
409,4,643319
410,4,643447
411,3,644770
412,4,645039
413,4,645229
414,4,645382
415,4,645490
416,4,645685
417,4,645937
418,2,648386
419,3,648721
420,3,648985
421,3,649244
422,3,649520
423,3,649747
424,3,650164
425,4,650272
426,3,650799
427,4,650910
428,3,651101
429,2,658301
430,3,658961
431,4,659096
432,4,659230
433,4,659352
434,3,659997
435,4,660158
436,4,660292
437,4,660428
438,3,661359
439,4,661525
440,4,661702
441,4,661840
442,4,661949
443,4,662077
444,3,663925
445,4,664324
446,4,664534
447,4,664810
448,4,665058
449,4,665440
450,4,665617
451,3,665809
452,3,666165
453,3,667678
454,4,668000
455,4,668224
456,4,668417
457,4,668567
458,4,668720
459,4,668871
460,4,669019
461,4,669222
462,3,670331
463,4,670519
464,4,670717
465,4,670885
466,4,671083
467,4,671195
468,4,671302
469,2,676120
470,3,676799
471,4,676906
472,4,677068
473,3,677442
474,4,677549
475,3,678193
476,4,678359
477,4,678501
478,3,679186
479,4,679320
480,4,679472
481,4,679581
482,3,680137
483,4,680265
484,4,680374
485,3,681002
486,4,681179
487,4,681338
488,3,681767
489,4,681884
490,4,681998
491,3,682888
