Kmeans ID,Depth,Used Time Since Start(us)
0,0,126747
1,1,147962
2,2,150060
3,3,150806
4,4,150957
5,4,151159
6,3,151627
7,4,151839
8,3,152108
9,3,152216
10,3,152381
11,3,152533
12,3,152716
13,2,156547
14,3,157467
15,4,157639
16,4,157759
17,4,157894
18,4,158100
19,3,158511
20,4,158638
21,3,158830
22,3,159855
23,4,160062
24,4,160327
25,4,160471
26,4,160613
27,3,160832
28,3,161147
29,3,161489
30,3,161990
31,4,162129
32,4,162249
33,2,164989
34,3,165324
35,3,165557
36,3,166500
37,4,166740
38,4,166883
39,4,167007
40,4,167179
41,4,167304
42,3,167666
43,3,167924
44,3,168165
45,3,168274
46,3,168612
47,2,169371
48,3,169575
49,3,169683
50,3,169805
51,3,169943
52,3,170052
53,2,171330
54,3,171576
55,3,171744
56,3,172044
57,3,172365
58,2,174662
59,3,175014
60,3,175231
61,3,175360
62,3,175573
63,3,175954
64,3,176378
65,3,176745
66,3,177021
67,2,180857
68,3,181938
69,4,182129
70,4,182327
71,4,182724
72,4,182867
73,3,183055
74,3,183725
75,4,183941
76,3,184224
77,3,184730
78,3,184854
79,3,185484
80,4,185612
81,4,185739
82,3,186186
83,4,186316
84,2,190263
85,3,191134
86,4,191374
87,4,191494
88,4,191629
89,4,191787
90,3,192413
91,4,192719
92,4,192828
93,3,193201
94,4,193329
95,3,194252
96,4,194375
97,4,194615
98,4,194806
99,4,194927
100,3,195408
101,3,195649
102,3,196000
103,3,196142
104,1,221766
105,2,225489
106,3,225909
107,3,226331
108,4,226444
109,4,226558
110,3,227171
111,4,227289
112,4,227525
113,3,228039
114,4,228147
115,4,228281
116,3,228565
117,3,229481
118,4,229717
119,4,229846
120,4,230026
121,4,230133
122,4,230251
123,3,230772
124,4,230913
125,4,231083
126,2,233340
127,3,233725
128,3,234409
129,4,234517
130,4,234647
131,4,234771
132,4,234901
133,3,235083
134,3,235235
135,3,235465
136,3,235626
137,3,235917
138,3,236147
139,2,237264
140,3,237386
141,3,237630
142,3,237754
143,3,237882
144,3,238137
145,3,238258
146,2,244564
147,3,245904
148,4,246059
149,4,246206
150,4,246471
151,4,246588
152,4,246866
153,4,247106
154,3,247648
155,4,247760
156,4,247882
157,3,248261
158,3,249246
159,4,249384
160,4,249583
161,4,249691
162,4,249959
163,3,250258
164,3,251305
165,4,251462
166,4,251614
167,4,251887
168,4,252015
169,4,252146
170,3,253648
171,4,253936
172,4,254123
173,4,254310
174,4,254617
175,4,254758
176,4,254964
177,4,255207
178,3,255535
179,2,258130
180,3,258775
181,4,258897
182,4,259004
183,4,259113
184,3,259536
185,3,259761
186,3,260049
187,3,260462
188,3,260765
189,3,261051
190,2,265928
191,3,266404
192,4,266548
193,3,267570
194,4,267898
195,4,268016
196,4,268140
197,4,268300
198,3,269685
199,4,269981
200,4,270139
201,4,270266
202,4,270485
203,4,270718
204,4,270900
205,3,271139
206,3,271331
207,3,271603
208,3,272620
209,4,272786
210,4,273058
211,4,273248
212,4,273449
213,3,273784
214,2,276224
215,3,276397
216,3,276523
217,3,277236
218,4,277354
219,4,277496
220,4,277626
221,3,277911
222,3,278322
223,4,278457
224,3,278992
225,4,279122
226,3,279269
227,2,281374
228,3,281658
229,4,281766
230,3,282452
231,4,282674
232,4,282909
233,3,283137
234,3,283265
235,3,283505
236,3,283932
237,1,291979
238,2,293582
239,3,293816
240,3,294215
241,3,294485
242,3,294756
243,3,294915
244,3,295162
245,2,295911
246,3,296029
247,3,296174
248,3,296283
249,3,296417
250,3,296556
251,2,297117
252,3,297224
253,3,297360
254,2,298366
255,3,298513
256,3,298784
257,3,298920
258,3,299093
259,2,300581
260,3,300942
261,3,301190
262,3,301399
263,3,301561
264,3,301684
265,3,301922
266,2,302595
267,3,302735
268,3,302896
269,2,304299
270,3,304540
271,3,304756
272,3,304947
273,3,305106
274,3,305326
275,3,305549
276,2,306100
277,3,306245
278,1,322824
279,2,326247
280,3,327010
281,4,327125
282,4,327255
283,4,327373
284,4,327531
285,3,327753
286,3,327966
287,3,328264
288,3,329114
289,4,329407
290,4,329584
291,4,329802
292,3,330284
293,4,330393
294,3,330757
295,3,331058
296,2,335511
297,3,336621
298,4,336872
299,4,336981
300,4,337187
301,4,337311
302,4,337537
303,3,337806
304,3,338603
305,4,338835
306,4,339052
307,3,339220
308,3,339643
309,4,339757
310,3,340845
311,4,341070
312,4,341280
313,4,341449
314,4,341586
315,4,341735
316,3,342289
317,4,342455
318,3,342569
319,2,343103
320,3,343225
321,3,343521
322,2,344778
323,3,344922
324,3,345086
325,3,345345
326,3,345578
327,3,345791
328,2,347065
329,3,347281
330,3,347453
331,3,347652
332,3,347818
333,3,348087
334,3,348195
335,2,350527
336,3,351009
337,4,351126
338,3,351299
339,3,351702
340,4,351815
341,3,352115
342,3,352223
343,3,352666
344,4,352787
345,3,353140
346,3,353270
347,2,353716
348,2,356331
349,3,356876
350,4,357004
351,4,357115
352,3,357606
353,4,357750
354,4,357865
355,3,358157
356,3,358846
357,4,358957
358,4,359064
359,3,359273
360,3,359450
361,3,359652
362,1,367277
363,2,367841
364,3,367985
365,2,369208
366,3,369389
367,3,369519
368,3,369809
369,3,369937
370,3,370181
371,3,370367
372,2,371361
373,3,371763
374,4,371877
375,3,372186
376,3,372334
377,2,374188
378,3,374320
379,3,374627
380,3,374781
381,3,374889
382,3,375670
383,4,375894
384,4,376052
385,4,376185
386,4,376310
387,3,376592
388,2,378038
389,3,378410
390,3,378569
391,3,378738
392,3,379065
393,3,379277
394,3,379389
395,2,379777
396,3,379892
397,2,380760
398,3,380922
399,3,381151
400,3,381285
401,3,381438
402,2,381658
403,1,392312
404,2,393471
405,3,393760
406,3,393872
407,3,394065
408,3,394298
409,3,394554
410,2,397556
411,3,397945
412,3,398659
413,4,398797
414,4,398915
415,4,399049
416,4,399195
417,3,399646
418,4,399828
419,3,400159
420,4,400287
421,3,400558
422,3,400898
423,3,401160
424,3,401446
425,2,403454
426,3,403683
427,3,404101
428,3,404306
429,3,404580
430,3,404889
431,3,405072
432,3,405292
433,3,405511
434,2,406196
435,3,406381
436,3,406542
437,2,407343
438,3,407472
439,3,407759
440,2,408471
441,3,408594
442,3,408708
443,3,408839
444,2,410215
445,3,410485
446,3,410761
447,3,410945
448,3,411089
449,3,411426
450,2,412312
451,3,412471
452,3,412611
453,3,412744
454,3,412884
455,3,413048
456,1,443249
457,2,450568
458,3,452695
459,4,453078
460,5,453186
461,4,453501
462,4,453698
463,4,454016
464,4,454306
465,4,454576
466,4,454891
467,3,455528
468,4,455660
469,3,457349
470,4,457828
471,4,458100
472,4,458247
473,4,458385
474,4,458616
475,4,458861
476,3,459618
477,4,459740
478,4,459908
479,4,460021
480,3,460353
481,3,460840
482,4,460947
483,4,461058
484,3,461508
485,3,462503
486,4,462672
487,4,462809
488,4,462985
489,4,463102
490,4,463223
491,4,463331
492,2,467893
493,3,468437
494,4,468569
495,3,468848
496,3,469769
497,4,469899
498,4,470070
499,4,470291
500,3,470872
501,4,471000
502,4,471118
503,3,471485
504,3,472329
505,4,472463
506,4,472695
507,4,472826
508,4,472941
509,3,473427
510,4,473539
511,4,473648
512,3,474202
513,4,474324
514,2,480385
515,3,480953
516,4,481069
517,3,482037
518,4,482455
519,4,482602
520,4,482753
521,4,482890
522,3,483149
523,3,484357
524,4,484594
525,4,484754
526,4,484876
527,4,485107
528,4,485314
529,3,487179
530,4,487528
531,4,487676
532,4,487821
533,4,488021
534,4,488213
535,4,488635
536,4,488850
537,4,489048
538,3,489761
539,4,489927
540,4,490064
541,3,490436
542,3,490606
543,2,494239
544,3,495214
545,4,495383
546,4,495528
547,4,495823
548,4,495995
549,4,496110
550,3,496302
551,3,496507
552,3,497292
553,4,497490
554,4,497626
555,4,497756
556,4,497895
557,3,498064
558,3,498884
559,4,499043
560,4,499153
561,4,499260
562,4,499410
563,4,499531
564,3,499977
565,3,500103
566,2,501432
567,3,501658
568,3,501877
569,3,502035
570,3,502200
571,3,502453
572,3,502643
573,2,503792
574,3,503961
575,3,504286
576,3,504414
577,3,504745
578,3,504900
579,2,508066
580,3,508559
581,4,508671
582,3,509040
583,3,509329
584,3,509718
585,3,510180
586,4,510315
587,4,510423
588,3,510999
589,4,511113
590,4,511252
591,4,511384
592,3,511676
593,3,512062
594,2,514918
595,3,515604
596,4,515773
597,4,515910
598,3,516265
599,3,516623
600,3,516859
601,3,517070
602,3,517469
603,4,517593
604,4,517711
605,3,517947
606,3,518372
607,4,518521
608,4,518629
609,1,525264
610,2,527069
611,3,527379
612,3,527839
613,3,528111
614,3,528345
615,3,528468
616,3,528626
617,3,528853
618,2,529394
619,3,529517
620,3,529684
621,2,529835
622,2,530566
623,3,530709
624,3,530990
625,2,531186
626,2,532176
627,3,532405
628,3,532734
629,3,532852
630,3,532994
631,2,534244
632,3,534367
633,3,534565
634,3,534735
635,3,534959
636,3,535106
637,3,535266
638,3,535473
639,2,536415
640,3,536579
641,3,536688
642,3,536882
643,3,537028
644,3,537166
