Kmeans ID,Depth,Used Time Since Start(us)
0,0,813361
1,1,951100
2,2,973430
3,3,976240
4,4,977080
5,5,977305
6,5,977421
7,5,977540
8,5,977671
9,5,977789
10,4,978088
11,4,978296
12,4,978502
13,4,978777
14,4,979582
15,5,979811
16,5,979975
17,5,980087
18,4,980227
19,3,985217
20,4,985884
21,5,986046
22,5,986179
23,5,986316
24,5,986455
25,4,987316
26,5,987587
27,5,987708
28,5,987866
29,4,989183
30,5,989313
31,5,989710
32,5,989823
33,5,989966
34,5,990143
35,5,990408
36,4,990919
37,5,991029
38,4,991418
39,5,991557
40,4,991946
41,4,992443
42,5,992638
43,5,992767
44,4,993100
45,3,995151
46,4,995834
47,5,995988
48,5,996140
49,5,996263
50,4,996561
51,4,996919
52,4,997069
53,4,997198
54,4,997419
55,4,997595
56,3,1000824
57,4,1001299
58,4,1001624
59,4,1002002
60,5,1002135
61,4,1002377
62,4,1002777
63,4,1003035
64,4,1003422
65,5,1003550
66,4,1004310
67,5,1004489
68,5,1004604
69,5,1004726
70,3,1005999
71,4,1006162
72,4,1006381
73,4,1006551
74,4,1006676
75,4,1007040
76,3,1008131
77,4,1008298
78,4,1008553
79,4,1008661
80,4,1008860
81,4,1008967
82,4,1009081
83,3,1012216
84,4,1012655
85,4,1013354
86,5,1013462
87,5,1013574
88,5,1013741
89,5,1013857
90,5,1013973
91,4,1014139
92,4,1014706
93,5,1014831
94,4,1015002
95,4,1015728
96,5,1015858
97,5,1016006
98,5,1016141
99,4,1016413
100,3,1020219
101,4,1020753
102,5,1020881
103,4,1021978
104,5,1022206
105,5,1022398
106,5,1022505
107,5,1022665
108,5,1022796
109,5,1022985
110,4,1023374
111,4,1023631
112,4,1024032
113,5,1024139
114,4,1024723
115,5,1024848
116,5,1024962
117,5,1025073
118,4,1025415
119,4,1025630
120,2,1032438
121,3,1035052
122,4,1035254
123,4,1035673
124,4,1035950
125,4,1036532
126,5,1036644
127,5,1036825
128,4,1036992
129,4,1037319
130,4,1037677
131,4,1037996
132,3,1038130
133,3,1039201
134,4,1039370
135,4,1039552
136,4,1039725
137,4,1039856
138,4,1039970
139,4,1040127
140,3,1040624
141,4,1040732
142,3,1041477
143,4,1041690
144,4,1041838
145,4,1041947
146,3,1042113
147,3,1042441
148,3,1043758
149,4,1043978
150,4,1044267
151,4,1044453
152,4,1044806
153,2,1063686
154,3,1066096
155,4,1066453
156,5,1066572
157,4,1067097
158,5,1067262
159,5,1067382
160,4,1067561
161,4,1067914
162,5,1068040
163,4,1068195
164,4,1068379
165,4,1068831
166,5,1068940
167,3,1071231
168,4,1071455
169,4,1072189
170,5,1072298
171,5,1072429
172,5,1072578
173,4,1072843
174,4,1073162
175,4,1073320
176,4,1073602
177,4,1073853
178,3,1076162
179,4,1076391
180,4,1076712
181,4,1077288
182,5,1077417
183,5,1077529
184,4,1077862
185,4,1078158
186,4,1078389
187,4,1078668
188,3,1081090
189,4,1081706
190,5,1081846
191,5,1081974
192,4,1082287
193,4,1082584
194,4,1082859
195,4,1082976
196,4,1083136
197,4,1083594
198,5,1083720
199,4,1083934
200,3,1086797
201,4,1087090
202,4,1087451
203,4,1087888
204,5,1088020
205,4,1088281
206,4,1088552
207,4,1088964
208,4,1089211
209,4,1089809
210,5,1089944
211,5,1090063
212,5,1090183
213,3,1092359
214,4,1092675
215,4,1092982
216,4,1093211
217,4,1093416
218,4,1093699
219,4,1094203
220,5,1094324
221,4,1094536
222,4,1094687
223,3,1097189
224,4,1097664
225,4,1098029
226,4,1098201
227,4,1098470
228,4,1098818
229,4,1099144
230,4,1099608
231,5,1099731
232,3,1101765
233,4,1101993
234,4,1102368
235,4,1102698
236,4,1102871
237,4,1103125
238,4,1103392
239,4,1103702
240,4,1103821
241,2,1116935
242,3,1118563
243,4,1118842
244,4,1118992
245,4,1119219
246,4,1119327
247,4,1119623
248,4,1119800
249,4,1120153
250,3,1121437
251,4,1121608
252,4,1121777
253,4,1121989
254,4,1122300
255,4,1122428
256,4,1122587
257,3,1124498
258,4,1124622
259,4,1124994
260,4,1125169
261,4,1125403
262,4,1125598
263,4,1126034
264,5,1126155
265,4,1126508
266,3,1128241
267,4,1128743
268,5,1128862
269,4,1129171
270,5,1129297
271,4,1129539
272,4,1129684
273,4,1129822
274,4,1129940
275,4,1130105
276,4,1130243
277,3,1131921
278,4,1132184
279,4,1132546
280,4,1132758
281,4,1133212
282,4,1133444
283,3,1135091
284,4,1135456
285,4,1135780
286,4,1136107
287,4,1136244
288,4,1136610
289,5,1136720
290,4,1136828
291,3,1138707
292,4,1138912
293,4,1139088
294,4,1139375
295,4,1139677
296,4,1139854
297,4,1140102
298,4,1140401
299,4,1140605
300,3,1141939
301,4,1142064
302,4,1142297
303,4,1142407
304,4,1142609
305,4,1142777
306,4,1142920
307,4,1143191
308,2,1167547
309,3,1176175
310,4,1177792
311,5,1178194
312,5,1178475
313,5,1178612
314,5,1178790
315,5,1179180
316,5,1179306
317,4,1180313
318,5,1180548
319,5,1180723
320,5,1180843
321,5,1180977
322,4,1182106
323,5,1182326
324,5,1182623
325,5,1182798
326,5,1183006
327,4,1184432
328,5,1184570
329,5,1184838
330,5,1185064
331,5,1185189
332,5,1185491
333,5,1185729
334,5,1185850
335,4,1186969
336,5,1187164
337,5,1187390
338,5,1187559
339,5,1187770
340,4,1188492
