Kmeans ID,Depth,Used Time Since Start(us)
0,0,325711
1,1,398691
2,2,405808
3,3,407339
4,4,407620
5,4,407947
6,4,408243
7,4,408514
8,4,408679
9,3,409200
10,4,409321
11,4,409442
12,3,410620
13,4,410808
14,4,411069
15,4,411222
16,4,411339
17,4,411465
18,4,411663
19,3,412043
20,3,412359
21,3,413535
22,4,413702
23,4,413919
24,4,414202
25,4,414407
26,4,414694
27,3,415229
28,4,415352
29,3,416921
30,4,417187
31,4,417358
32,4,417513
33,4,417639
34,4,417804
35,4,418004
36,4,418115
37,4,418545
38,2,428466
39,3,430108
40,4,430332
41,4,430658
42,4,431093
43,4,431242
44,4,431385
45,4,431561
46,4,431692
47,3,434522
48,4,434821
49,4,435260
50,4,435585
51,4,435977
52,4,436158
53,4,436631
54,5,436747
55,4,437180
56,5,437318
57,4,437644
58,3,438181
59,4,438289
60,3,439856
61,4,440138
62,4,440363
63,4,440629
64,4,440797
65,4,440968
66,4,441121
67,4,441338
68,3,443155
69,4,443441
70,4,443759
71,4,443908
72,4,444218
73,4,444406
74,4,444702
75,4,444881
76,4,444993
77,3,445698
78,4,445805
79,4,445954
80,3,446244
81,3,446934
82,4,447184
83,4,447307
84,2,462494
85,3,466320
86,4,466782
87,5,466939
88,4,467563
89,5,467747
90,4,468270
91,4,468756
92,5,468891
93,4,469614
94,5,469787
95,4,470187
96,4,470497
97,4,470819
98,3,472586
99,4,472759
100,4,473104
101,4,473300
102,4,473423
103,4,473732
104,4,474053
105,4,474212
106,4,474369
107,3,475632
108,4,475931
109,4,476117
110,4,476247
111,4,476365
112,4,476534
113,4,476726
114,4,476847
115,3,478871
116,4,479459
117,5,479625
118,4,479754
119,4,479930
120,4,480245
121,4,480592
122,4,480920
123,5,481042
124,3,483027
125,4,483540
126,4,483918
127,5,484029
128,4,484214
129,4,484431
130,4,484709
131,4,484821
132,4,485017
133,4,485146
134,3,487280
135,4,487774
136,4,488019
137,4,488134
138,4,488557
139,4,488839
140,4,489046
141,4,489341
142,3,490071
143,4,490207
144,4,490358
145,4,490553
146,3,492114
147,4,492462
148,5,492577
149,4,492737
150,4,493042
151,4,493178
152,4,493462
153,4,493584
154,4,493788
155,2,502188
156,3,503962
157,4,504391
158,4,504699
159,4,504814
160,4,505087
161,4,505226
162,4,505565
163,4,505688
164,3,508142
165,4,508546
166,4,508958
167,4,509379
168,4,509651
169,4,509904
170,4,510054
171,4,510195
172,4,510594
173,3,511061
174,3,511239
175,3,512369
176,4,512538
177,4,512643
178,4,512813
179,4,512929
180,4,513091
181,4,513295
182,4,513429
183,3,515036
184,4,515341
185,4,515462
186,4,515642
187,4,515756
188,4,516084
189,4,516271
190,4,516550
191,3,516912
192,3,517269
193,4,517396
194,2,524742
195,3,525667
196,4,525906
197,4,526037
198,4,526145
199,4,526251
200,4,526413
201,3,527399
202,4,527631
203,4,527931
204,4,528063
205,4,528187
206,4,528294
207,3,529144
208,4,529306
209,4,529417
210,4,529539
211,4,529690
212,4,529846
213,3,530983
214,4,531213
215,4,531405
216,4,531579
217,4,531722
218,4,531876
219,3,532754
220,4,532960
221,4,533161
222,4,533285
223,4,533451
224,3,534093
225,4,534257
226,3,534846
227,4,535038
228,3,536400
229,4,536629
230,4,536876
231,4,537194
232,4,537304
233,4,537542
234,2,548816
235,3,549751
236,4,550021
237,4,550252
238,4,550373
239,4,550524
240,3,553044
241,4,553296
242,4,553562
243,4,553997
244,4,554322
245,4,554693
246,5,554832
247,4,555006
248,4,555595
249,5,555776
250,5,555886
251,3,557616
252,4,558018
253,4,558199
254,4,558369
255,4,558544
256,4,558772
257,4,559171
258,4,559314
259,3,560548
260,4,560813
261,4,560977
262,4,561167
263,4,561337
264,4,561480
265,4,561661
266,3,563473
267,4,563790
268,4,564006
269,4,564167
270,4,564437
271,4,564637
272,4,564882
273,4,565148
274,4,565334
275,3,566412
276,4,566575
277,4,566724
278,4,566841
279,4,566949
280,4,567097
281,4,567311
282,4,567472
283,3,568765
284,4,568932
285,4,569093
286,4,569259
287,4,569425
288,4,569704
289,4,569896
290,3,570577
291,4,570773
292,4,570947
293,2,580017
294,3,581539
295,4,581891
296,4,582150
297,4,582407
298,4,582623
299,4,582791
300,4,582908
301,3,584836
302,4,585261
303,4,585674
304,4,585842
305,4,586203
306,4,586396
307,4,586607
308,3,588093
309,4,588448
310,4,588594
311,4,588806
312,4,588930
313,4,589435
314,5,589564
315,3,589982
316,4,590099
317,3,590851
318,4,591107
319,4,591235
320,3,592986
321,4,593238
322,4,593689
323,4,593936
324,4,594077
325,4,594338
326,4,594596
327,4,594710
328,3,595511
329,4,595693
330,4,595801
331,4,595933
332,4,596040
333,3,596511
334,4,596648
335,2,600947
336,3,601763
337,4,601931
338,4,602121
339,3,602388
340,3,603186
341,4,603317
342,4,603442
343,4,603592
344,4,603770
345,3,603919
346,3,604849
347,4,605028
348,4,605138
349,4,605287
350,4,605457
351,3,605912
352,3,606688
353,4,606921
354,4,607066
355,3,607247
356,1,656401
357,2,674121
358,3,677645
359,4,678288
360,5,678407
361,5,678584
362,4,679154
363,5,679297
364,5,679418
365,5,679549
366,4,680171
367,5,680279
368,4,680613
369,4,680946
370,4,681257
371,4,681750
372,5,681922
373,4,682293
374,3,684884
375,4,685566
376,5,685686
377,5,685797
378,5,685924
379,4,686091
380,4,686342
381,4,686674
382,4,686839
383,4,687258
384,4,687580
385,4,687868
386,3,689619
