Kmeans ID,Depth,Used Time Since Start(us)
0,0,811642
1,1,946325
2,2,972075
3,3,980435
4,4,981272
5,5,981427
6,5,981623
7,5,981819
8,4,983054
9,5,983266
10,5,983525
11,5,983696
12,5,983838
13,5,984068
14,5,984188
15,4,985841
16,5,986144
17,5,986546
18,5,986661
19,5,986860
20,5,986976
21,5,987146
22,5,987452
23,4,987777
24,4,988999
25,5,989365
26,5,989650
27,5,989782
28,5,989953
29,5,990082
30,5,990217
31,4,990723
32,5,990880
33,4,992427
34,5,992743
35,5,992986
36,5,993211
37,5,993350
38,5,993635
39,5,993785
40,5,993951
41,4,994786
42,5,994934
43,5,995053
44,5,995187
45,3,997883
46,4,998329
47,4,998954
48,5,999104
49,4,999329
50,4,999615
51,4,1000051
52,5,1000173
53,4,1000783
54,5,1000892
55,5,1001033
56,5,1001149
57,3,1001800
58,4,1001907
59,4,1002014
60,3,1006912
61,4,1007878
62,5,1008032
63,5,1008201
64,5,1008340
65,5,1008535
66,5,1008652
67,5,1008820
68,4,1009489
69,5,1009607
70,5,1009825
71,4,1010620
72,5,1010768
73,5,1010876
74,5,1011085
75,5,1011201
76,4,1011925
77,5,1012034
78,5,1012163
79,5,1012280
80,4,1012522
81,4,1013546
82,5,1013755
83,5,1013876
84,5,1014064
85,5,1014243
86,4,1014364
87,4,1014720
88,3,1015659
89,4,1015791
90,4,1016033
91,4,1016186
92,4,1016313
93,3,1020183
94,4,1020858
95,5,1020995
96,5,1021120
97,5,1021242
98,4,1021805
99,5,1021932
100,5,1022068
101,5,1022181
102,4,1022852
103,5,1022960
104,5,1023096
105,5,1023284
106,5,1023395
107,4,1023870
108,4,1024107
109,4,1024394
110,4,1024826
111,4,1025363
112,5,1025565
113,5,1025683
114,3,1027704
115,4,1027982
116,4,1028506
117,4,1028863
118,4,1028999
119,4,1029118
120,4,1029338
121,4,1029640
122,4,1029760
123,3,1032171
124,4,1032537
125,4,1032817
126,4,1033176
127,4,1033583
128,4,1033782
129,4,1033958
130,4,1034253
131,4,1034613
132,2,1044018
133,3,1047383
134,4,1048037
135,5,1048166
136,5,1048291
137,4,1048920
138,5,1049044
139,5,1049224
140,5,1049389
141,4,1049743
142,4,1050105
143,4,1050417
144,4,1050764
145,4,1051140
146,4,1051484
147,3,1052289
148,4,1052459
149,4,1052624
150,4,1052755
151,4,1052867
152,3,1053503
153,4,1053625
154,3,1054937
155,4,1055168
156,4,1055352
157,4,1055513
158,4,1055621
159,4,1055835
160,4,1056018
161,4,1056211
162,3,1057651
163,4,1057771
164,4,1058210
165,5,1058338
166,4,1058683
167,4,1058838
168,4,1058982
169,3,1059646
170,4,1059825
171,4,1060015
172,3,1060806
173,4,1060915
174,4,1061048
175,4,1061240
176,4,1061348
177,4,1061485
178,3,1061912
179,2,1093002
180,3,1100411
181,4,1101680
182,5,1101840
183,5,1102074
184,5,1102312
185,5,1102469
186,5,1102654
187,5,1102800
188,4,1103200
189,4,1104491
190,5,1104787
191,5,1104937
192,5,1105089
193,5,1105381
194,5,1105524
195,5,1105732
196,4,1106289
197,5,1106436
198,5,1106578
199,4,1107616
200,5,1107822
201,5,1108012
202,5,1108182
203,5,1108363
204,5,1108505
205,4,1109157
206,5,1109311
207,5,1109475
208,4,1110665
