Kmeans ID,Depth,Used Time Since Start(us)
0,0,132571
1,1,166233
2,2,172843
3,3,174435
4,4,174822
5,4,175003
6,4,175233
7,4,175667
8,4,175919
9,3,177052
10,4,177256
11,4,177519
12,4,177632
13,4,177750
14,4,177884
15,4,178071
16,3,179217
17,4,179555
18,4,179665
19,4,179806
20,4,179967
21,4,180225
22,3,180567
23,3,181953
24,4,182236
25,4,182433
26,4,182620
27,4,182814
28,4,182963
29,4,183152
30,4,183270
31,3,183583
32,4,183719
33,3,184126
34,4,184232
35,3,184584
36,2,187528
37,3,187831
38,3,188302
39,3,188957
40,4,189098
41,4,189225
42,3,189431
43,3,189558
44,3,190165
45,4,190285
46,4,190412
47,3,190644
48,3,191034
49,2,194105
50,3,194365
51,3,195112
52,4,195338
53,4,195472
54,3,195716
55,3,195979
56,4,196093
57,3,196461
58,3,196975
59,4,197195
60,3,197829
61,4,197935
62,4,198046
63,4,198231
64,2,200055
65,3,200625
66,4,200822
67,3,201159
68,3,201408
69,3,201639
70,3,201774
71,3,202001
72,2,207098
73,3,207675
74,4,207810
75,4,207934
76,3,208789
77,4,208927
78,4,209183
79,4,209312
80,4,209495
81,3,210179
82,4,210328
83,4,210439
84,4,210577
85,3,211409
86,4,211696
87,4,211811
88,4,211918
89,4,212122
90,3,212370
91,3,213685
92,4,213862
93,4,214004
94,4,214352
95,4,214752
96,3,215131
97,3,215381
98,2,219703
99,3,221127
100,4,221442
101,4,221790
102,4,221999
103,4,222204
104,4,222337
105,3,223399
106,4,223670
107,4,223864
108,4,223991
109,4,224128
110,4,224256
111,4,224387
112,3,224637
113,3,225302
114,4,225554
115,4,225698
116,4,225819
117,3,226453
118,4,226585
119,4,226699
120,4,226852
121,4,226960
122,3,227070
123,3,227244
124,2,232391
125,3,233446
126,4,233610
127,4,233812
128,4,234012
129,4,234155
130,4,234326
131,3,235137
132,4,235329
133,4,235460
134,4,235576
135,4,235690
136,4,235823
137,3,236031
138,3,236989
139,4,237159
140,4,237305
141,4,237504
142,4,237615
143,4,237728
144,3,238368
145,4,238505
146,4,238662
147,4,238771
148,3,239289
149,4,239398
150,3,239956
151,4,240080
152,4,240191
153,3,240616
154,2,244988
155,3,245811
156,4,245999
157,4,246195
158,4,246319
159,3,246968
160,4,247145
161,4,247253
162,4,247378
163,3,247619
164,3,248122
165,3,248724
166,4,248862
167,4,248977
168,3,249450
169,4,249569
170,3,250128
171,4,250307
172,4,250486
173,3,251073
174,4,251207
175,4,251401
176,1,284888
177,2,293769
178,3,294836
179,4,295102
180,4,295302
181,4,295416
182,4,295544
183,4,295708
184,4,295846
185,3,297865
186,4,298099
187,4,298263
188,4,298563
189,4,298811
190,4,298945
191,4,299133
192,4,299480
193,4,299909
194,5,300050
195,3,300620
196,4,300770
197,3,301227
198,4,301347
199,3,302594
200,4,302700
201,4,302914
202,4,303126
203,4,303471
204,5,303591
205,4,303767
206,4,303883
207,3,304680
208,4,304910
209,4,305092
210,4,305283
211,3,307049
212,4,307270
213,4,307566
214,4,307901
215,5,308017
216,4,308236
217,4,308481
218,4,308620
219,4,308748
220,4,308944
221,3,310016
222,4,310376
223,4,310625
224,4,310744
225,4,310862
226,4,310979
227,2,313602
228,3,314454
229,4,314588
230,4,314736
231,4,314874
232,4,315006
233,4,315148
234,3,315278
235,3,315419
236,3,315666
237,3,316068
238,3,316246
239,3,316920
240,4,317045
241,4,317175
242,2,319201
243,3,319826
244,4,320064
245,4,320173
246,4,320289
247,3,320529
248,3,320661
249,3,321090
250,3,321330
251,3,321452
252,3,321637
253,2,324164
254,3,324800
255,4,324942
256,3,325139
257,3,325258
258,3,325406
259,3,325873
260,3,326309
261,4,326436
262,3,326841
263,4,326952
264,3,327104
265,2,332315
266,3,332968
267,4,333129
268,4,333247
269,3,334317
270,4,334496
271,4,334633
272,4,334740
273,4,334849
274,4,334956
275,4,335205
276,3,336431
277,4,336589
278,4,336898
279,4,337007
280,4,337171
281,4,337305
282,4,337514
283,3,337721
284,3,338622
285,4,338792
286,4,339044
287,4,339274
288,3,339850
289,4,340004
290,4,340111
291,3,340665
292,4,340775
293,4,340922
294,4,341037
295,3,341172
296,2,346056
297,3,347096
298,4,347243
299,4,347380
300,4,347594
301,4,347740
302,4,347904
303,3,348229
304,3,348883
305,4,348990
306,4,349114
307,3,349769
308,4,349899
309,4,350023
310,3,350667
311,4,350792
312,4,350914
313,4,351053
314,3,351621
315,4,351832
316,4,351947
317,3,352455
318,4,352572
319,4,352679
320,3,353275
321,4,353386
322,4,353501
323,2,356645
324,3,357492
325,4,357696
326,4,357912
327,4,358058
328,3,358279
329,3,359194
330,4,359350
331,4,359461
332,4,359678
333,4,359802
334,3,360022
335,3,360598
336,4,360714
337,3,360972
338,3,361107
339,2,364925
340,3,365898
341,4,366048
342,4,366270
343,4,366428
344,4,366625
345,3,367123
346,4,367252
347,4,367386
348,3,368098
349,4,368244
350,4,368360
351,4,368478
352,4,368611
353,3,368972
354,3,369240
355,4,369350
356,3,370042
357,4,370254
358,4,370370
359,4,370503
360,3,370877
361,1,374489
362,2,375138
363,3,375307
364,3,375420
365,2,376043
366,3,376207
367,3,376322
368,2,376680
369,2,376978
370,3,377085
371,2,377710
372,3,377897
373,3,378034
374,2,378624
375,3,378731
376,3,378847
377,2,379141
378,2,379327
379,1,388912
380,2,391294
381,3,391925
382,4,392037
383,4,392156
384,3,392419
385,3,392817
386,3,393013
387,3,393500
388,4,393606
389,3,393746
390,3,393904
391,3,394096
392,2,395692
393,3,396058
394,4,396179
395,3,396288
396,3,396509
397,3,396817
398,3,397084
399,3,397350
400,2,398360
401,3,398541
402,3,398687
403,3,398865
404,3,399021
405,3,399172
406,3,399281
407,2,400599
408,3,400709
409,3,400918
410,3,401099
411,3,401499
412,3,401813
413,2,402407
414,3,402535
415,2,403570
416,3,403688
417,3,403830
418,3,404026
419,3,404231
420,3,404372
421,2,404800
422,2,406043
423,3,406543
424,3,406765
425,3,406907
426,3,407019
427,1,432030
428,2,438949
429,3,439402
430,4,439518
431,4,439632
432,3,440603
433,4,440815
434,4,440971
435,4,441314
436,3,442039
437,4,442173
438,4,442318
439,4,442490
440,3,443200
441,4,443331
442,4,443494
443,4,443618
444,3,444442
445,4,444555
446,4,444720
447,4,444879
448,4,445045
449,3,445466
450,3,447048
451,4,447314
452,4,447663
453,4,447864
454,4,448169
455,4,448469
456,3,449744
457,4,449963
458,4,450099
459,4,450284
460,4,450503
461,4,450712
462,4,450912
463,2,457137
464,3,459035
465,4,459289
466,4,459719
467,4,459892
468,4,460115
469,4,460478
470,4,460696
471,4,460870
472,3,461470
473,4,461619
474,4,461737
475,4,461845
476,3,463094
477,4,463214
478,4,463516
479,4,463722
480,4,463906
481,4,464032
482,4,464215
483,3,465780
484,4,466066
485,4,466265
486,4,466385
487,4,466858
488,5,467002
489,5,467128
490,4,467305
491,4,467463
492,3,467789
493,4,467897
494,3,468159
495,3,468356
496,3,468604
497,2,471693
498,3,472694
499,4,472874
500,4,473042
501,4,473176
502,4,473322
503,3,473746
504,4,473881
505,3,474110
506,3,474561
507,4,474669
508,3,475155
509,4,475324
510,3,475559
511,3,475888
512,2,478135
513,3,478258
514,3,478718
515,3,479109
516,3,479359
517,3,479607
518,3,479959
519,3,480267
520,3,480446
521,2,481281
522,3,481431
523,3,481575
524,3,481699
525,3,481876
526,2,485057
527,3,485735
528,4,485925
529,4,486099
530,3,486574
531,3,486839
532,3,487087
533,3,487601
534,4,487723
535,3,487947
536,3,488060
537,3,488823
538,4,488945
539,4,489065
540,4,489224
541,2,491074
542,3,491366
543,3,491705
544,3,492029
545,3,492436
546,4,492551
547,3,492660
548,3,492884
549,3,493002
550,2,493404
551,1,504615
552,2,506338
553,3,506693
554,3,507002
555,3,507293
556,3,507439
557,3,507647
558,3,507765
559,3,507930
560,3,508088
561,2,510181
562,3,510478
563,3,510733
564,3,510933
565,3,511131
566,3,511505
567,3,511935
568,3,512094
569,3,512307
570,2,513690
571,3,513866
572,3,514373
573,3,514702
574,3,514938
575,2,516493
576,3,516788
577,3,517159
578,3,517284
579,3,517479
580,3,517718
581,3,517876
582,3,518059
583,2,518896
584,3,519085
585,3,519320
586,3,519448
587,2,520084
588,3,520253
589,3,520386
590,3,520592
591,2,521296
592,3,521503
593,3,521758
594,3,521866
595,2,524068
596,3,524324
597,3,524572
598,3,524907
599,3,525195
600,3,525516
601,3,525892
602,3,526179
603,3,526339
604,1,529024
605,2,529355
606,2,529989
607,3,530102
608,2,530359
609,2,530693
610,2,531077
611,2,531199
612,2,531633
613,2,531874
614,1,539092
615,2,539470
616,2,540321
617,3,540452
618,3,540609
619,3,540798
620,3,540972
621,2,542019
622,3,542323
623,3,542456
624,3,542593
625,3,542715
626,3,542879
627,2,543439
628,3,543650
629,2,545020
630,3,545421
631,3,545561
632,3,545811
633,3,545927
634,3,546160
635,3,546371
636,2,546654
637,2,546880
638,2,549336
639,3,549792
640,3,550229
641,3,550633
642,3,550766
643,3,551177
644,4,551293
645,3,551665
646,4,551798
647,3,552009
