Kmeans ID,Depth,Construction(us)
0,0,126373
1,1,19281
2,2,2305
3,3,879
4,4,255
5,4,127
6,4,116
7,4,114
8,3,258
9,3,122
10,3,320
11,4,165
12,3,213
13,3,198
14,3,270
15,2,2044
16,3,249
17,3,334
18,3,565
19,4,113
20,4,173
21,3,179
22,3,181
23,4,110
24,3,251
25,3,169
26,3,197
27,2,2373
28,3,702
29,4,197
30,4,111
31,3,190
32,3,257
33,3,139
34,3,363
35,3,369
36,3,328
37,2,1099
38,3,148
39,3,120
40,3,142
41,3,175
42,3,265
43,2,1417
44,3,330
45,4,111
46,3,287
47,3,263
48,3,134
49,3,168
50,3,119
51,2,4284
52,3,901
53,4,225
54,4,115
55,4,140
56,4,145
57,3,731
58,4,193
59,4,160
60,4,183
61,3,385
62,3,1063
63,4,120
64,4,165
65,4,172
66,4,167
67,4,174
68,4,124
69,3,459
70,3,367
71,3,124
72,3,303
73,2,2224
74,3,534
75,4,126
76,4,149
77,4,121
78,3,353
79,3,441
80,3,272
81,3,151
82,3,150
83,3,146
84,3,206
85,4,113
86,2,3293
87,3,835
88,4,184
89,4,150
90,4,122
91,3,296
92,3,572
93,4,171
94,4,130
95,3,484
96,4,140
97,4,145
98,3,373
99,3,246
100,3,142
101,3,394
102,1,27474
103,2,3698
104,3,564
105,4,124
106,4,147
107,3,245
108,3,723
109,4,108
110,4,225
111,4,108
112,3,408
113,4,111
114,3,320
115,3,386
116,3,719
117,4,144
118,4,167
119,4,124
120,3,453
121,2,5350
122,3,1029
123,4,156
124,4,149
125,4,222
126,4,112
127,4,138
128,4,111
129,3,1123
130,4,158
131,4,182
132,4,145
133,4,161
134,4,141
135,4,155
136,4,108
137,3,307
138,3,738
139,4,176
140,4,155
141,4,153
142,3,1019
143,4,151
144,4,167
145,4,109
146,4,129
147,4,143
148,4,173
149,3,201
150,3,551
151,3,483
152,4,118
153,4,120
154,2,2042
155,3,467
156,3,356
157,3,201
158,3,111
159,3,214
160,3,241
161,3,451
162,4,110
163,2,3313
164,3,637
165,4,144
166,4,120
167,3,545
168,4,148
169,3,356
170,4,116
171,3,538
172,4,108
173,3,335
174,3,288
175,3,166
176,3,489
177,4,118
178,4,122
179,2,4324
180,3,609
181,4,141
182,4,111
183,4,117
184,3,979
185,4,170
186,4,223
187,4,256
188,4,219
189,3,825
190,4,179
191,4,146
192,4,117
193,4,111
194,3,174
195,3,861
196,4,132
197,4,163
198,4,145
199,4,116
200,3,338
201,3,129
202,3,466
203,4,113
204,2,2790
205,3,966
206,4,126
207,4,110
208,4,176
209,4,210
210,4,115
211,3,458
212,4,128
213,3,253
214,3,279
215,3,317
216,4,124
217,3,228
218,3,129
219,3,274
220,2,1964
221,3,859
222,4,109
223,4,156
224,4,130
225,4,158
226,4,144
227,3,405
228,3,212
229,3,130
230,3,240
231,2,3758
232,3,427
233,3,1278
234,4,191
235,4,253
236,4,165
237,4,191
238,4,282
239,3,562
240,4,171
241,3,507
242,4,125
243,3,154
244,3,288
245,3,625
246,4,119
247,4,134
248,4,110
249,1,7757
250,2,810
251,3,371
252,2,2506
253,3,407
254,4,107
255,3,443
256,4,158
257,4,108
258,3,531
259,4,126
260,3,167
261,3,577
262,4,111
263,4,134
264,3,225
265,3,228
266,2,700
267,3,155
