Kmeans ID,Depth,Construction(us)
0,0,814506
1,1,120610
2,2,13320
3,3,2805
4,4,634
5,5,161
6,5,156
7,4,116
8,4,587
9,5,156
10,5,158
11,4,225
12,4,444
13,5,118
14,5,119
15,4,134
16,4,344
17,4,212
18,3,2620
19,4,464
20,5,119
21,4,591
22,5,136
23,5,112
24,5,119
25,4,362
26,4,113
27,4,654
28,5,133
29,5,163
30,5,205
31,4,319
32,3,1485
33,4,203
34,4,449
35,5,140
36,5,109
37,4,216
38,4,219
39,4,166
40,3,1444
41,4,205
42,4,215
43,4,105
44,4,120
45,4,329
46,4,267
47,4,137
48,3,1005
49,4,234
50,4,177
51,4,111
52,4,209
53,4,144
54,3,1114
55,4,197
56,4,143
57,4,119
58,4,189
59,4,296
60,3,1101
61,4,190
62,4,195
63,4,131
64,4,248
65,4,151
66,3,1997
67,4,395
68,5,113
69,4,351
70,4,246
71,4,223
72,4,301
73,4,210
74,4,172
75,2,10708
76,3,1578
77,4,514
78,5,128
79,4,454
80,5,116
81,4,275
82,3,2302
83,4,318
84,4,331
85,4,260
86,4,347
87,5,120
88,4,334
89,4,243
90,4,282
91,4,208
92,3,2442
93,4,127
94,4,401
95,4,137
96,4,426
97,5,118
98,4,620
99,5,133
100,5,178
101,4,628
102,5,164
103,3,1371
104,4,163
105,4,332
106,4,239
107,4,111
108,4,148
109,4,170
110,4,149
111,3,1938
112,4,307
113,4,309
114,4,128
115,4,290
116,4,114
117,4,513
118,5,150
119,4,132
120,4,155
121,3,592
122,4,156
123,4,139
124,4,149
125,3,188
126,3,406
127,4,108
128,4,120
129,2,26929
130,3,8814
131,4,764
132,5,168
133,5,166
134,5,177
135,4,1706
136,5,259
137,6,137
138,5,508
139,6,142
140,6,133
141,5,146
142,5,294
143,5,271
144,4,626
145,5,147
146,5,118
147,5,141
148,4,863
149,5,107
150,5,266
151,5,123
152,5,128
153,5,111
154,4,482
155,5,133
156,4,2976
157,5,290
158,5,336
159,5,267
160,5,452
161,5,519
162,6,137
163,6,141
164,5,534
165,6,125
166,6,126
167,5,218
168,5,430
169,4,859
170,5,166
171,5,156
172,5,164
173,4,520
174,5,114
175,5,157
176,3,2932
177,4,884
178,5,208
179,5,146
180,5,149
181,5,265
182,4,385
183,5,120
184,4,273
185,4,287
186,4,301
187,4,219
188,4,563
189,5,107
190,5,186
191,3,2121
192,4,352
193,4,507
194,5,109
195,4,168
196,4,160
197,4,291
198,4,324
199,4,276
200,3,5223
201,4,552
202,5,177
203,4,1137
204,5,139
205,5,181
206,5,113
207,5,132
208,5,137
209,5,131
210,5,261
211,4,1506
212,5,279
213,5,121
214,5,350
215,5,234
216,5,159
217,5,109
218,5,230
219,4,466
220,5,110
221,4,433
222,5,155
223,5,109
224,4,368
225,4,616
226,5,108
227,4,148
228,3,553
229,4,241
230,4,135
231,3,2746
232,4,658
233,5,120
234,4,134
235,4,328
236,4,203
237,4,198
238,4,483
239,5,133
240,4,502
241,4,273
242,3,2323
243,4,901
244,5,262
245,5,127
246,5,192
247,5,131
248,4,172
249,4,201
250,4,131
251,4,350
252,4,342
253,4,177
254,3,2414
255,4,355
256,4,873
257,5,261
258,5,169
259,5,180
260,5,153
261,4,428
262,5,114
263,4,280
264,4,143
265,4,170
266,4,111
267,2,19907
268,3,4330
269,4,598
270,5,150
271,5,124
272,4,507
273,4,586
274,5,125
275,5,115
276,4,434
277,4,326
278,4,276
279,5,111
280,4,572
281,5,111
282,5,118
283,4,1060
284,5,156
285,5,121
286,5,179
287,5,128
288,5,149
289,5,134
290,5,141
291,3,3827
292,4,665
293,5,131
294,5,161
295,4,402
296,5,114
297,4,386
298,4,490
299,5,111
300,4,500
301,5,109
302,5,112
303,4,542
304,4,693
305,5,142
306,5,108
307,5,133
308,4,210
309,3,1168
310,4,291
311,4,111
312,4,506
313,3,2346
314,4,599
315,5,110
316,5,139
317,5,112
318,4,230
319,4,462
320,5,148
321,4,262
322,4,289
323,4,358
324,3,3404
325,4,397
326,4,144
327,4,328
328,5,107
329,4,758
330,5,259
331,5,117
332,5,172
333,4,554
334,5,132
335,5,147
336,4,300
337,4,745
338,5,210
339,5,169
340,4,181
341,3,1010
342,4,120
343,4,184
344,4,162
345,4,247
346,4,137
347,4,138
348,3,1953
349,4,264
350,4,357
351,4,216
352,4,197
353,4,433
354,4,380
355,5,111
356,4,153
357,3,1875
358,4,442
359,5,155
360,4,162
361,4,144
362,4,172
363,4,255
364,5,121
365,4,109
366,4,404
367,4,216
368,2,9595
369,3,1674
370,4,349
371,4,360
372,4,144
373,4,145
374,4,335
375,5,114
376,4,195
377,3,1661
378,4,335
379,4,128
380,4,335
381,4,156
382,4,172
383,4,198
384,4,239
385,4,131
386,3,499
387,4,158
388,3,961
389,4,291
390,4,120
391,4,215
392,4,162
393,3,703
394,4,154
395,4,133
396,3,1328
397,4,283
398,4,164
399,4,237
400,4,303
401,4,107
402,4,154
403,3,1580
404,4,140
405,4,266
406,4,322
407,4,112
408,4,279
409,4,219
410,4,146
411,3,1314
412,4,166
413,4,292
414,4,210
415,4,114
416,4,231
417,4,140
418,4,130
419,2,9517
420,3,2257
421,4,433
422,4,312
423,4,246
424,4,304
425,4,567
426,5,144
427,5,108
428,4,179
429,4,173
430,3,1880
431,4,528
432,5,156
433,4,138
434,4,214
435,4,285
436,4,114
437,4,109
438,4,139
439,4,372
440,3,985
441,4,187
442,4,177
443,4,173
444,4,112
445,4,135
446,3,1080
447,4,145
448,4,177
449,4,228
450,4,166
451,3,798
452,4,238
453,4,196
454,3,1594
455,4,277
456,4,302
457,4,332
458,4,169
459,4,291
460,3,485
461,4,114
462,3,558
463,4,129
464,4,157
465,2,9385
466,3,1292
467,4,209
468,4,254
469,4,230
470,4,236
471,4,144
472,4,123
473,3,1034
474,4,238
475,4,200
476,4,154
477,4,115
478,4,123
479,3,2756
480,4,516
481,5,114
482,4,196
483,4,914
484,5,320
485,5,206
486,5,134
487,4,222
488,4,221
489,4,199
490,4,287
491,4,219
492,3,488
493,3,1791
494,4,379
495,4,235
496,4,165
497,4,328
498,5,115
499,4,503
500,5,122
501,5,122
502,3,863
503,4,241
504,4,221
505,4,111
506,4,112
507,3,433
508,4,112
509,4,111
510,3,820
511,4,134
512,4,147
513,4,173
514,4,114
515,2,19069
516,3,3810
517,4,160
518,4,1043
519,5,184
520,5,208
521,5,137
522,5,136
523,5,120
524,5,113
525,5,140
526,4,758
527,5,164
528,5,115
529,5,139
530,5,129
531,4,180
532,4,814
533,5,135
534,5,164
535,5,134
536,5,112
537,4,357
538,4,241
539,4,262
540,3,4885
541,4,627
542,5,157
543,5,148
544,5,129
545,4,1221
546,5,250
547,5,117
548,5,144
549,5,158
550,5,115
551,5,179
552,5,156
553,5,142
554,4,318
555,4,1560
556,5,132
557,5,202
558,5,309
559,5,542
560,6,107
561,5,116
562,5,209
563,4,164
564,4,371
565,4,665
566,5,114
567,5,141
568,4,196
569,3,1929
570,4,379
571,5,141
572,4,198
573,4,373
574,4,556
575,5,107
576,5,129
577,4,113
578,4,244
579,3,1086
580,4,277
581,4,204
582,4,259
583,4,141
584,3,2051
585,4,700
586,5,153
587,5,148
588,5,193
589,4,445
590,4,188
591,4,115
592,4,340
593,3,2382
594,4,505
595,4,440
596,5,129
597,4,437
598,4,159
599,4,175
600,4,198
601,4,183
602,4,312
603,3,1104
604,4,247
605,4,286
606,4,246
607,4,110
608,3,1974
609,4,318
610,4,225
611,4,263
612,4,253
613,4,123
614,4,150
615,4,133
616,4,520
617,5,131
618,5,169
619,1,305051
620,2,63554
621,3,13504
622,4,4322
623,5,1015
624,6,126
625,6,150
626,6,109
627,6,131
628,6,192
629,6,185
630,5,487
631,5,345
632,5,652
633,6,212
634,5,207
635,5,477
636,6,131
637,5,808
638,6,149
639,6,154
640,6,211
641,5,418
642,6,139
643,4,924
644,5,195
645,5,147
646,5,142
647,5,215
648,5,111
649,4,1674
650,5,340
651,5,186
652,5,286
653,5,159
654,5,268
655,5,182
656,5,239
657,5,112
658,4,784
659,5,144
660,5,172
661,5,172
662,5,163
663,4,363
664,4,1404
665,5,174
666,5,157
667,5,125
668,5,182
669,5,340
670,5,307
671,4,1551
672,5,297
673,5,112
674,5,120
675,5,311
676,5,164
677,5,411
678,6,111
679,5,201
680,4,2222
681,5,416
682,6,147
683,5,317
684,5,178
685,5,428
686,5,317
687,5,247
688,5,199
689,5,182
690,3,12096
691,4,2141
692,5,507
693,6,121
694,5,276
695,5,394
696,5,152
697,5,214
698,5,461
699,6,140
700,5,136
701,4,2052
702,5,224
703,5,401
704,6,111
705,5,318
706,5,536
707,6,121
708,5,213
709,5,194
710,5,161
711,4,1533
712,5,257
713,5,296
714,5,134
715,5,321
716,5,136
717,5,165
718,5,182
719,4,1347
720,5,190
721,5,309
722,5,193
723,5,152
724,5,119
725,5,185
726,5,163
727,4,1896
728,5,266
729,5,303
730,5,193
731,5,247
732,5,141
733,5,203
734,5,337
735,5,253
736,4,704
737,5,153
738,5,120
739,5,178
740,5,139
741,4,1791
742,5,135
743,5,262
744,5,238
745,5,213
746,5,159
747,5,216
748,5,489
749,4,670
750,5,132
751,5,119
752,5,180
753,3,8281
754,4,1948
755,5,322
756,5,255
757,5,333
758,5,353
759,5,345
760,5,190
761,5,174
762,4,2085
763,5,194
764,5,596
765,6,123
766,6,120
767,5,360
768,5,186
769,5,371
770,5,305
771,4,638
772,5,130
773,4,1188
774,5,271
775,5,231
776,5,169
777,5,220
778,5,151
779,4,622
780,5,119
781,5,123
782,5,148
783,4,1108
784,5,166
785,5,239
786,5,304
787,5,239
788,4,685
789,5,121
790,5,158
791,5,114
792,5,156
793,3,9035
794,4,2398
795,5,472
796,5,188
797,5,466
798,6,112
799,5,300
800,5,158
801,5,568
802,6,137
803,5,231
804,4,3636
805,5,903
806,6,255
807,6,138
808,6,134
809,6,179
810,5,627
811,6,133
812,6,129
813,5,384
814,5,255
815,5,212
816,5,506
817,6,136
818,5,116
819,5,679
820,6,192
821,6,123
822,6,141
823,6,118
824,4,729
825,5,141
826,5,122
827,5,115
828,4,176
829,4,163
830,4,172
831,4,1355
832,5,378
833,5,113
834,5,179
835,5,179
836,5,244
837,5,263
838,4,390
839,3,7788
840,4,678
841,5,120
842,5,119
843,5,191
844,4,1879
845,5,297
846,6,111
847,5,335
848,5,199
849,5,338
850,5,284
851,5,341
852,4,699
853,5,133
854,5,136
855,5,203
856,4,1336
857,5,206
858,5,230
859,5,119
860,5,250
861,5,212
862,5,187
863,5,133
864,4,525
865,5,108
866,4,1091
867,5,180
868,5,269
869,5,172
870,5,210
871,4,303
872,4,1200
873,5,198
874,5,152
875,5,202
876,5,193
877,5,210
878,5,160
879,3,3960
880,4,873
881,5,251
882,5,121
883,5,143
884,5,124
885,5,150
886,4,350
887,5,109
888,4,890
889,5,119
890,5,224
891,5,167
892,5,155
893,4,316
894,4,294
895,4,478
896,5,116
897,5,122
898,4,311
899,4,487
900,5,127
901,3,6156
902,4,1149
903,5,165
904,5,393
905,5,133
906,5,238
907,4,798
908,5,144
909,5,144
910,5,191
911,4,537
912,5,140
913,5,142
914,4,1177
915,5,194
916,5,214
917,5,186
918,5,132
919,5,115
920,4,680
921,5,163
922,5,165
923,5,115
924,4,820
925,5,147
926,5,154
927,5,225
928,4,536
929,5,130
930,4,682
931,5,182
932,5,113
933,3,3245
934,4,372
935,5,138
936,4,829
937,5,140
938,5,199
939,5,121
940,4,214
941,4,378
942,4,558
943,5,146
944,5,119
945,4,180
946,4,222
947,4,522
948,5,109
949,5,139
950,2,20324
951,3,2985
952,4,212
953,4,570
954,5,147
955,4,752
956,5,132
957,5,118
958,5,200
959,5,119
960,5,130
961,4,203
962,4,162
963,4,127
964,4,917
965,5,122
966,5,243
967,5,112
968,5,112
969,5,164
970,3,1508
971,4,293
972,4,340
973,4,221
974,4,187
975,4,235
976,3,1596
977,4,294
978,4,180
979,4,326
980,4,156
981,4,140
982,4,388
983,3,2798
984,4,254
985,4,349
986,5,123
987,4,705
988,5,194
989,5,135
990,5,164
991,4,235
992,4,138
993,4,479
994,5,116
995,5,132
996,5,117
997,4,158
998,4,488
999,5,114
1000,3,3157
1001,4,497
1002,4,300
1003,4,326
1004,4,478
1005,4,355
1006,4,517
1007,5,194
1008,5,132
1009,4,236
1010,4,510
1011,3,3173
1012,4,595
1013,5,133
1014,5,126
1015,4,213
1016,4,566
1017,4,274
1018,4,818
1019,5,108
1020,5,166
1021,5,112
1022,5,138
1023,5,120
1024,4,297
1025,4,239
1026,4,200
1027,3,2050
1028,4,327
1029,4,254
1030,4,352
1031,4,219
1032,4,186
1033,4,225
1034,4,285
1035,4,237
1036,3,3251
1037,4,547
1038,5,125
1039,5,119
1040,4,723
1041,5,227
1042,5,110
1043,5,127
1044,4,258
1045,4,287
1046,4,173
1047,4,759
1048,5,163
1049,5,110
1050,5,118
1051,5,134
1052,4,176
1053,4,340
1054,2,47726
1055,3,5836
1056,4,1212
1057,5,237
1058,5,213
1059,5,111
1060,5,303
1061,4,997
1062,5,195
1063,5,249
1064,5,111
1065,5,160
1066,5,131
1067,4,305
1068,4,346
1069,4,584
1070,5,172
1071,4,1596
1072,5,126
1073,5,469
1074,5,287
1075,5,124
1076,5,171
1077,5,291
1078,4,491
1079,5,123
1080,5,108
1081,4,319
1082,3,7694
1083,4,1145
1084,5,161
1085,5,183
1086,5,195
1087,5,150
1088,5,144
1089,5,133
1090,5,152
1091,4,1020
1092,5,136
1093,5,186
1094,5,195
1095,5,142
1096,5,283
1097,5,131
1098,4,1452
1099,5,325
1100,5,216
1101,5,154
1102,5,266
1103,5,135
1104,5,124
1105,5,184
1106,4,986
1107,5,335
1108,5,198
1109,5,108
1110,5,135
1111,4,976
1112,5,141
1113,5,265
1114,5,235
1115,5,125
1116,4,215
1117,4,603
1118,5,147
1119,5,139
1120,5,123
1121,4,1232
1122,5,225
1123,5,201
1124,5,146
1125,5,281
1126,5,172
1127,5,165
1128,3,8550
1129,4,1420
1130,5,397
1131,5,235
1132,5,172
1133,5,112
1134,5,345
1135,5,125
1136,4,2047
1137,5,657
1138,6,111
1139,5,407
1140,5,147
1141,5,176
1142,5,225
1143,5,348
1144,5,324
1145,4,572
1146,5,142
1147,4,851
1148,5,189
1149,5,173
1150,5,145
1151,5,174
1152,4,830
1153,5,147
1154,5,141
1155,5,207
1156,5,125
1157,4,930
1158,5,107
1159,5,254
1160,5,140
1161,4,888
1162,5,207
1163,5,153
1164,4,1004
1165,5,217
1166,5,223
1167,5,172
1168,5,146
1169,3,3899
1170,4,266
1171,4,1275
1172,5,136
1173,5,218
1174,5,269
1175,5,212
1176,5,115
1177,5,122
1178,5,203
1179,4,541
1180,5,130
1181,4,237
1182,4,251
1183,4,206
1184,4,723
1185,5,120
1186,5,122
1187,4,397
1188,3,4648
1189,4,277
1190,4,1018
1191,5,202
1192,5,198
1193,5,161
1194,5,189
1195,4,472
1196,5,156
1197,4,512
1198,5,122
1199,4,618
1200,5,119
1201,5,113
1202,5,108
1203,4,474
1204,4,224
1205,4,1063
1206,5,171
1207,5,201
1208,5,135
1209,5,119
1210,5,131
1211,5,119
1212,5,130
1213,3,5031
1214,4,1000
1215,5,212
1216,5,167
1217,5,188
1218,5,113
1219,5,120
1220,5,123
1221,4,820
1222,5,169
1223,5,189
1224,5,126
1225,4,574
1226,5,138
1227,5,129
1228,5,123
1229,4,477
1230,5,110
1231,5,108
1232,4,545
1233,5,143
1234,5,113
1235,4,373
1236,4,252
1237,4,968
1238,5,225
1239,5,129
1240,5,173
1241,5,126
1242,5,195
1243,3,8244
1244,4,2055
1245,5,367
1246,5,298
1247,5,324
1248,5,409
1249,5,226
1250,5,205
1251,5,182
1252,4,901
1253,5,205
1254,5,151
1255,5,113
1256,5,186
1257,5,123
1258,4,1579
1259,5,447
1260,6,140
1261,5,121
1262,5,163
1263,5,370
1264,5,168
1265,5,147
1266,5,125
1267,4,501
1268,5,121
1269,4,862
1270,5,151
1271,5,144
1272,5,124
1273,5,202
1274,5,133
1275,4,534
1276,5,108
1277,4,1242
1278,5,171
1279,5,153
1280,5,132
1281,5,159
1282,5,155
1283,5,361
1284,5,183
1285,4,510
1286,5,120
1287,3,4442
1288,4,988
1289,5,119
1290,5,169
1291,5,119
1292,5,195
1293,5,130
1294,5,178
1295,4,784
1296,5,155
1297,5,118
1298,5,162
1299,4,320
1300,4,907
1301,5,151
1302,5,144
1303,5,175
1304,5,141
1305,4,381
1306,4,470
1307,4,410
1308,4,238
1309,2,17746
1310,3,2662
1311,4,961
1312,5,154
1313,5,157
1314,5,169
1315,5,172
1316,5,143
1317,4,225
1318,4,289
1319,4,282
1320,4,347
1321,5,141
1322,5,126
1323,4,182
1324,4,330
1325,3,4747
1326,4,373
1327,4,839
1328,5,154
